Country,iso_code,date,VaccinationRate,,,,,,,,,total_vaccinations_per_hundred,total_vaccinations_per_hundred,total_vaccinations_per_hundred
Afghanistan,AFG,1/5/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/6/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/7/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/8/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/9/2022,17604,,,,,,,,,,,
Afghanistan,AFG,1/10/2022,16642,,,,,,,,,,,
Afghanistan,AFG,1/11/2022,15680,,,,,,,,,,,
Afghanistan,AFG,1/12/2022,15287,,,,,,,,,,,
Afghanistan,AFG,1/13/2022,14893,,,,,,,,,,,
Afghanistan,AFG,1/14/2022,13458,,,,,,,,,,,
Afghanistan,AFG,1/15/2022,12023,,,,,,,,,,,
Afghanistan,AFG,1/16/2022,10588,,,,,,,,,,,
Afghanistan,AFG,1/17/2022,10115,,,,,,,,,,,
Afghanistan,AFG,1/18/2022,9920,,,,,,,,,,,
Afghanistan,AFG,1/19/2022,9156,,,,,,,,,,,
Afghanistan,AFG,1/20/2022,8235,,,,,,,,,,,
Afghanistan,AFG,1/21/2022,8355,,,,,,,,,,,
Afghanistan,AFG,1/22/2022,8475,,,,,,,,,,,
Afghanistan,AFG,1/23/2022,8595,,,,,,,,,,,
Afghanistan,AFG,1/24/2022,8715,,,,,,,,,,,
Afghanistan,AFG,1/25/2022,9368,,,,,,,,,,,
Afghanistan,AFG,1/26/2022,10021,,,,,,,,,,,
Afghanistan,AFG,1/27/2022,9802,,,,,,,,,,,
Afghanistan,AFG,1/28/2022,10176,,,,,,,,,,,
Afghanistan,AFG,1/29/2022,10550,,,,,,,,,,,
Afghanistan,AFG,1/30/2022,10925,,,,,,,,,,,
Afghanistan,AFG,1/31/2022,11299,,,,,,,,,,,
Afghanistan,AFG,2/1/2022,11228,,,,,,,,,,,
Afghanistan,AFG,2/2/2022,11157,,,,,,,,,,,
Afghanistan,AFG,2/3/2022,12025,,,,,,,,,,,
Afghanistan,AFG,2/4/2022,12299,,,,,,,,,,,
Afghanistan,AFG,2/5/2022,12573,,,,,,,,,,,
Afghanistan,AFG,2/6/2022,12847,,,,,,,,,,,
Afghanistan,AFG,2/7/2022,13122,,,,,,,,,,,
Afghanistan,AFG,2/8/2022,13311,,,,,,,,,,,
Afghanistan,AFG,2/9/2022,13501,,,,,,,,,,,
Afghanistan,AFG,2/10/2022,13781,,,,,,,,,,,
Afghanistan,AFG,2/11/2022,14061,,,,,,,,,,,
Afghanistan,AFG,2/12/2022,14341,,,,,,,,,,,
Afghanistan,AFG,2/13/2022,14621,,,,,,,,,,,
Afghanistan,AFG,2/14/2022,14901,,,,,,,,,,,
Afghanistan,AFG,2/15/2022,14939,,,,,,,,,,,
Afghanistan,AFG,2/16/2022,14977,,,,,,,,,,,
Afghanistan,AFG,2/17/2022,15015,,,,,,,,,,,
Afghanistan,AFG,2/18/2022,15053,,,,,,,,,,,
Afghanistan,AFG,2/19/2022,15091,,,,,,,,,,,
Afghanistan,AFG,2/20/2022,15129,,,,,,,,,,,
Afghanistan,AFG,2/21/2022,15509,,,,,,,,,,,
Afghanistan,AFG,2/22/2022,15852,,,,,,,,,,,
Afghanistan,AFG,2/23/2022,16194,,,,,,,,,,,
Afghanistan,AFG,2/24/2022,16536,,,,,,,,,,,
Afghanistan,AFG,2/25/2022,16879,,,,,,,,,,,
Afghanistan,AFG,2/26/2022,17221,,,,,,,,,,,
Afghanistan,AFG,2/27/2022,17564,,,,,,,,,,,
Afghanistan,AFG,2/28/2022,16317,,,,,,,,,,,
Afghanistan,AFG,3/1/2022,15071,,,,,,,,,,,
Afghanistan,AFG,3/2/2022,13825,,,,,,,,,,,
Afghanistan,AFG,3/3/2022,12578,,,,,,,,,,,
Afghanistan,AFG,3/4/2022,11332,,,,,,,,,,,
Afghanistan,AFG,3/5/2022,10086,,,,,,,,,,,
Afghanistan,AFG,3/6/2022,8839,,,,,,,,,,,
Afghanistan,AFG,3/7/2022,9317,,,,,,,,,,,
Afghanistan,AFG,3/8/2022,9795,,,,,,,,,,,
Afghanistan,AFG,3/9/2022,10273,,,,,,,,,,,
Afghanistan,AFG,3/10/2022,10750,,,,,,,,,,,
Afghanistan,AFG,3/11/2022,11228,,,,,,,,,,,
Afghanistan,AFG,3/12/2022,11706,,,,,,,,,,,
Afghanistan,AFG,3/13/2022,12183,,,,,,,,,,,
Afghanistan,AFG,3/14/2022,12183,,,,,,,,,,,
Afghanistan,AFG,3/15/2022,12183,,,,,,,,,,,
Afghanistan,AFG,3/16/2022,12183,,,,,,,,,,,
Afghanistan,AFG,3/17/2022,12183,,,,,,,,,,,
Afghanistan,AFG,3/18/2022,11010,,,,,,,,,,,
Afghanistan,AFG,3/19/2022,9838,,,,,,,,,,,
Afghanistan,AFG,3/20/2022,8665,,,,,,,,,,,
Afghanistan,AFG,3/21/2022,7492,,,,,,,,,,,
Afghanistan,AFG,3/22/2022,6319,,,,,,,,,,,
Albania,ALB,1/10/2021,,,,,,,,,,,,
Albania,ALB,1/11/2021,64,,,,,,,,,,,
Albania,ALB,1/12/2021,64,,,,,,,,,,,
Albania,ALB,1/13/2021,63,,,,,,,,,,,
Albania,ALB,1/14/2021,66,,,,,,,,,,,
Albania,ALB,1/15/2021,62,,,,,,,,,,,
Albania,ALB,1/16/2021,62,,,,,,,,,,,
Albania,ALB,1/17/2021,58,,,,,,,,,,,
Albania,ALB,1/18/2021,55,,,,,,,,,,,
Albania,ALB,1/19/2021,51,,,,,,,,,,,
Albania,ALB,1/20/2021,47,,,,,,,,,,,
Albania,ALB,1/21/2021,40,,,,,,,,,,,
Albania,ALB,1/22/2021,34,,,,,,,,,,,
Albania,ALB,1/23/2021,26,,,,,,,,,,,
Albania,ALB,1/24/2021,21,,,,,,,,,,,
Albania,ALB,1/25/2021,15,,,,,,,,,,,
Albania,ALB,1/26/2021,9,,,,,,,,,,,
Albania,ALB,1/27/2021,4,,,,,,,,,,,
Albania,ALB,1/28/2021,0,,,,,,,,,,,
Albania,ALB,1/29/2021,0,,,,,,,,,,,
Albania,ALB,1/30/2021,0,,,,,,,,,,,
Albania,ALB,1/31/2021,0,,,,,,,,,,,
Albania,ALB,2/1/2021,0,,,,,,,,,,,
Albania,ALB,2/2/2021,0,,,,,,,,,,,
Albania,ALB,2/3/2021,12,,,,,,,,,,,
Albania,ALB,2/4/2021,24,,,,,,,,,,,
Albania,ALB,2/5/2021,35,,,,,,,,,,,
Albania,ALB,2/6/2021,47,,,,,,,,,,,
Albania,ALB,2/7/2021,59,,,,,,,,,,,
Albania,ALB,2/8/2021,71,,,,,,,,,,,
Albania,ALB,2/9/2021,82,,,,,,,,,,,
Albania,ALB,2/10/2021,81,,,,,,,,,,,
Albania,ALB,2/11/2021,79,,,,,,,,,,,
Albania,ALB,2/12/2021,78,,,,,,,,,,,
Albania,ALB,2/13/2021,76,,,,,,,,,,,
Albania,ALB,2/14/2021,75,,,,,,,,,,,
Albania,ALB,2/15/2021,73,,,,,,,,,,,
Albania,ALB,2/16/2021,72,,,,,,,,,,,
Albania,ALB,2/17/2021,72,,,,,,,,,,,
Albania,ALB,2/18/2021,254,,,,,,,,,,,
